WKT,n_sq_qu,perimetre,objectid,longueur,c_qu,surface,geom_x_y,n_sq_ar,c_quinsee,l_qu,c_ar
"POLYGON ((2.36710134125455 48.8616275588541,2.36726517611638 48.8609491941381,2.36356096860697 48.861470273051,2.3612252790649 48.861795422671,2.35981235379964 48.8626016035816,2.35875868906738 48.863159942089,2.35837679086922 48.8633315444116,2.35826547342091 48.8633659069038,2.35840348988101 48.8635495997519,2.35885105118195 48.8640017345077,2.35933521511228 48.8644291397829,2.35953663537019 48.8646250031712,2.35965880809718 48.8646952076689,2.35976146391573 48.8647546324196,2.36020997954745 48.8651902402531,2.36042352176514 48.8653976522936,2.36165823081551 48.8665894698225,2.36169101688209 48.8666167301698,2.36173493401329 48.8666489512824,2.36178586680855 48.8666813446895,2.36183228345835 48.8667070570637,2.36188526105016 48.8667326712966,2.36259369981589 48.8670140902065,2.36314041253847 48.8672312614825,2.36367539091008 48.8674437658796,2.36372052653855 48.8674616527107,2.36372078565419 48.8674617557138,2.36373333413967 48.8674667696991,2.36375638447472 48.8674759423047,2.36382809606292 48.8675044306033,2.36388928309249 48.8674679970368,2.36389527069485 48.8674643946212,2.36390603764051 48.8674580080635,2.36390626422524 48.8674578725678,2.3639604108556 48.8674256239543,2.36405088704029 48.8673718222813,2.36413620220103 48.8673209015896,2.36419615068341 48.8672852760857,2.3642310460574 48.8672645049985,2.36424888920993 48.8672538841255,2.36426237475411 48.8672314875101,2.36431752695707 48.8671399217101,2.36437881126705 48.8670380271298,2.36437885443434 48.8670379527137,2.3644377092727 48.8669401929566,2.3644377815918 48.8669400755269,2.36445371307044 48.8669137257761,2.36448952956674 48.8668541843825,2.36449921520613 48.8668380836336,2.36449950325002 48.8668376031159,2.36451717700565 48.8668082219311,2.3645445478529 48.8667628030042,2.36467452213945 48.8665465978367,2.36473552043076 48.8664451268971,2.36475122528485 48.8664190034272,2.36540589155309 48.8653299561017,2.36579983885008 48.8646722178334,2.36583549294867 48.864612774,2.3658359312426 48.8646120424582,2.36670305103525 48.8631699205944,2.36671775249378 48.8631391616644,2.36673517981703 48.8631001305949,2.36675151400677 48.8630601943929,2.36676538666765 48.8630190040674,2.36690109293189 48.8624570127674,2.36710134125455 48.8616275588541))",750000010,2139.62538775,50,2139.5355911,10,271750.32393656,"[ 48.863887, 2.363123 ]",750000003,7510302,Enfants-Rouges,3
"POLYGON ((2.36131370133914 48.8485803043779,2.36151479179441 48.8482317913527,2.36079907735011 48.8486320355015,2.36079803536863 48.8486326612832,2.35981648368797 48.8491816067112,2.3596929827303 48.8492438468165,2.35956895385206 48.8493052196852,2.3593508322869 48.8494035513195,2.35917481700025 48.8494793040056,2.35887295977275 48.8495942677117,2.35854511218766 48.849708567887,2.35832984965309 48.8497779420136,2.35825000383845 48.8498036805323,2.35814823460726 48.8498392140918,2.35805653432814 48.8498660328668,2.35799753840697 48.8498850227939,2.35564850984818 48.8506421755345,2.35559931820004 48.8506580090734,2.35551156683558 48.8506861791067,2.35534766816233 48.8507346743675,2.35370595715969 48.8512209030513,2.35318543817818 48.851299938826,2.35251557167515 48.8513900501158,2.35160100045758 48.851594487114,2.35022315771119 48.8519473553308,2.3500428561823 48.8520002708007,2.34997951653884 48.8520205030605,2.34990662496428 48.8520448806791,2.34987362487045 48.852056644812,2.34964113446492 48.8521395214042,2.34938178174647 48.852241316005,2.34926036203998 48.8522923452357,2.34847020165768 48.8526122968464,2.34694654706386 48.8532936471417,2.3468722799743 48.8533191045121,2.34681886580179 48.8533352063709,2.34478604891753 48.8539868109739,2.34470238290887 48.8540128028036,2.34459267748504 48.8540492301492,2.34459338982843 48.8540499148619,2.34586952990485 48.855277273736,2.34590142382139 48.8553142352119,2.3459751882346 48.8554168219729,2.34597571736645 48.8554175560388,2.34610438715606 48.8555867835378,2.34680264211375 48.8567078469638,2.34867543783245 48.8561481361789,2.34990704228572 48.8557649987064,2.35249180012933 48.8546671891465,2.35529281198498 48.8534718943341,2.35734307127324 48.8527725064133,2.35873260068864 48.8523031996725,2.35969892739131 48.8519265395849,2.36004415351067 48.8517739916897,2.36015381512953 48.8517054421025,2.36021338118039 48.8516559921517,2.36026407714304 48.8516120527545,2.36030209370469 48.8515702093927,2.3603337769881 48.8515388258275,2.3603591171177 48.8515011677221,2.36038762685943 48.8514614175677,2.36041613160089 48.8514132997834,2.36043829475161 48.8513610002694,2.3604572893653 48.8513087009005,2.36047628394097 48.8512564015261,2.36049210364963 48.8511957355676,2.36050475527 48.851139254457,2.36051423657922 48.8510785896869,2.36052053761731 48.8509970078064,2.36050516353816 48.8506637991242,2.36051121416476 48.8504899060474,2.36054064735351 48.8503172126449,2.36061114385018 48.8500149535422,2.36068529039082 48.8497742270713,2.36075328590909 48.8496038422539,2.36083232912908 48.8494355363478,2.36087205425276 48.8493594408869,2.36106523899374 48.849021459432,2.36131370133914 48.8485803043779))",750000016,3283.16337082,56,3282.99971677,16,378252.15367404,"[ 48.852896, 2.352775 ]",750000004,7510404,Notre-Dame,4
"POLYGON ((2.36456146089158 48.843657461144,2.36450145056285 48.8435765947468,2.3621094009455 48.8403535675324,2.3618160282136 48.8399612805574,2.36160945682949 48.8398956049003,2.36140763210655 48.8398314381701,2.35915004283002 48.839113642649,2.35779623536456 48.838683242602,2.35695298401516 48.8384151444268,2.35586081090104 48.8380666907322,2.35535098069776 48.8379036646152,2.35272090484086 48.837062601859,2.35186926247115 48.8367962582758,2.35184430385466 48.836788743727,2.351818426923 48.8367827675106,2.35179181771938 48.836778378301,2.35176470461961 48.8367756169072,2.35176163080246 48.8367754149793,2.35166260112613 48.8367800127433,2.34898565073853 48.8370868988719,2.34979979288931 48.8388036129361,2.34995436270252 48.839126701111,2.34989419313154 48.839301802539,2.34983321598787 48.8394736734991,2.34977687814956 48.8397743838768,2.34979325817021 48.8399849449831,2.3497532595605 48.8403469637715,2.34963797421407 48.8410371333353,2.34961880238544 48.8413218774244,2.34977125816834 48.84229055247,2.34955676779087 48.8431834670857,2.34924454210685 48.8445163166714,2.3493366868466 48.8444873475991,2.34948846764859 48.8444396021121,2.34964299544693 48.8443928192923,2.35275651457674 48.843694289873,2.3549168218267 48.8436447730127,2.35492199233376 48.8437797815384,2.3583302009728 48.8455077407084,2.36109460863455 48.8469118409063,2.36113481389859 48.8469323352347,2.36118496770882 48.8469578642148,2.3612164494939 48.8469737746733,2.36175996314508 48.8472498302002,2.36249349837902 48.8476224103123,2.3644331283558 48.846140036887,2.36483641370981 48.8458437130159,2.36602918388167 48.8449302868286,2.36515076812726 48.8444324054548,2.36509588744343 48.8443955075665,2.36504473107739 48.844356354038,2.36503272410819 48.8443463721691,2.36495445849984 48.8442719025418,2.36494561872938 48.8442622180759,2.36491894925828 48.8442275977377,2.36489608336039 48.8441918176244,2.3648842548291 48.8441698823925,2.36486142431706 48.84412326427,2.36485076316639 48.8440958833101,2.36484547293542 48.8440822928727,2.36483299043869 48.8440470499267,2.36478876654381 48.843963705244,2.36476890312338 48.8439369418365,2.36469793137934 48.8438413245074,2.36463310241307 48.8437539823894,2.36456146089158 48.843657461144))",750000018,4052.72952079,58,4052.47322573,18,798389.39846272,"[ 48.841940, 2.356894 ]",750000005,7510502,Jardin-des-Plantes,5
"POLYGON ((2.3221335086401 48.8492497344643,2.32054115573699 48.8484199420982,2.32054112774591 48.848419998599,2.31957139078329 48.8505249266487,2.31903420504348 48.8516956802985,2.31901134201906 48.8517444222046,2.31910327760805 48.8527546850692,2.31920634532335 48.8530211548488,2.31995013971945 48.8549491374872,2.32112068217113 48.8564745554309,2.32279347339233 48.8581576758603,2.32312932670954 48.8585084330919,2.32380062110259 48.8592121921668,2.3246253633819 48.8600615887673,2.32549137151828 48.8608934007442,2.32552381217657 48.8609244501845,2.32557812194244 48.8609764293281,2.32566622169966 48.8610607497165,2.32610225473416 48.8614780723934,2.32610232452443 48.861478051202,2.32706763994021 48.8611458510572,2.32831153258394 48.8607371371259,2.32832717397819 48.8607311794851,2.32952365762322 48.8602680657081,2.32981534351874 48.860164851514,2.32985610028747 48.8601503717791,2.32990449526968 48.8601332556359,2.32990898343598 48.8601315818945,2.33291010056679 48.8593496070581,2.332445797611 48.8585085069548,2.33326598732345 48.8582645617413,2.3332485496361 48.8582431346611,2.33324297413887 48.858236283812,2.33275005583676 48.8576306449764,2.33167286679253 48.8563142478636,2.33114568225912 48.8556233111105,2.33084114117098 48.8551987492048,2.33070054156208 48.8549637628639,2.33045788875138 48.8544602443243,2.33043269048326 48.8544170790806,2.32937844414004 48.8527354621565,2.3293099160296 48.852613968906,2.32841856401928 48.8518247956252,2.32719314006022 48.8516253344734,2.32686572797655 48.8514084016553,2.32663873424442 48.8512615291496,2.3252735961986 48.8506966618736,2.324139714647 48.850230265362,2.32328653496252 48.8498257694097,2.32289810374919 48.8496348996751,2.3221335086401 48.8492497344643))",750000025,3827.25335281,7,3827.05342135,25,826559.43678046,"[ 48.855263, 2.325588 ]",750000007,7510701,Saint-Thomas-d'Aquin,7
"POLYGON ((2.34970856746358 48.8822226807668,2.34982948779996 48.8810893962141,2.34985895520809 48.8806264508,2.34952439867069 48.8796852090196,2.34951524791617 48.8796693850046,2.3492917613776 48.8790484635387,2.34919661050357 48.8785466803599,2.34911386658273 48.877477896306,2.34908494814803 48.8774225100385,2.34866129929647 48.8766340674534,2.34438440667199 48.8765545822597,2.34437451139822 48.8765415308664,2.34313254105384 48.8765555735083,2.3422839737437 48.8765124478743,2.34025529912509 48.8766014472709,2.33967858092326 48.8766553807094,2.33931143991957 48.876666342305,2.33922855027605 48.8767926911824,2.33986109889223 48.8790480870781,2.34041519789678 48.8803817095997,2.33961071626163 48.8820078100676,2.33959490869271 48.8820399117515,2.33958643102758 48.8820571294572,2.33959771254436 48.8820554802594,2.33967810387627 48.8820437314389,2.33977654170843 48.8820293481168,2.33981604333958 48.8820235754977,2.34157543009906 48.8823675079841,2.34188879425914 48.8824287621558,2.34198874127327 48.8824482990914,2.34390399317175 48.8828226559742,2.34443668765826 48.8829305771049,2.34444669565629 48.882932605035,2.34451475338142 48.8829458713656,2.34662995224091 48.8833581648078,2.34665612862173 48.8833632656605,2.34666090328269 48.8833641973409,2.34677524250487 48.8833864824888,2.34695038762731 48.883420618725,2.3470007966746 48.8834266322952,2.34713432312578 48.8834425600602,2.34724074432103 48.8834552533986,2.34881633783474 48.8836431812061,2.34933690328381 48.8837052654993,2.34950564113036 48.8837253884732,2.34959012512454 48.8834875188617,2.34970856746358 48.8822226807668))",750000036,2862.45052541,18,2862.36907816,36,500435.41496439,"[ 48.879812, 2.344861 ]",750000009,7510904,Rochechouart,9
"POLYGON ((2.35534473438527 48.8712626852649,2.35426058041661 48.8693300507256,2.35263101436464 48.8696944987928,2.35096068545989 48.8700494899072,2.34788028248318 48.8707041485095,2.34790047189195 48.8720066569133,2.34791195128047 48.8740239108311,2.34824650681159 48.8757937361038,2.34832112907174 48.8760197236718,2.34866129929647 48.8766340674534,2.34908494814803 48.8774225100385,2.3514048047135 48.8770981315992,2.35536905441652 48.8765580673057,2.35601981235624 48.8764935954239,2.35611790280361 48.8764893206158,2.35616550608217 48.8764872455745,2.35808354018149 48.8761627129093,2.35803212672619 48.8760688623205,2.35794459163198 48.8759126550394,2.35789001123292 48.8758022306218,2.35777294746722 48.8755917652693,2.3572736026884 48.8746939881995,2.35677481676734 48.8738163806525,2.35590403665086 48.8722685233897,2.35534473438527 48.8712626852649))",750000038,2736.29295365,20,2736.20012239,38,472113.59989654,"[ 48.873618, 2.352283 ]",750000010,7511002,Porte-Saint-Denis,10
"POLYGON ((2.34025529912509 48.8766014472709,2.3422839737437 48.8765124478743,2.34313254105384 48.8765555735083,2.34437451139822 48.8765415308664,2.34438440667199 48.8765545822597,2.34866129929647 48.8766340674534,2.34832112907174 48.8760197236718,2.34824650681159 48.8757937361038,2.34791195128047 48.8740239108311,2.34790047189195 48.8720066569133,2.34788028248318 48.8707041485095,2.3430689342081 48.871488874714,2.34004423190851 48.8719808264237,2.33989809360881 48.8719557330329,2.33973555888367 48.8719278231205,2.33709634951733 48.8714745917308,2.33742368006061 48.8723622631062,2.33808966263644 48.8741617009616,2.33844278986373 48.8751053110324,2.33876633236012 48.8759648242767,2.33905127635324 48.8759477366489,2.33931143991957 48.876666342305,2.33967858092326 48.8766553807094,2.34025529912509 48.8766014472709))",750000035,2786.54192605,17,2786.44897789,35,417335.0806209,"[ 48.873935, 2.343253 ]",750000009,7510903,Faubourg-Montmartre,9
"POLYGON ((2.32591421409084 48.8885329951987,2.32575413870843 48.8880214609431,2.32567922513127 48.887782068688,2.32561651336888 48.8875816598972,2.32559016142905 48.8874974458419,2.32537850440893 48.8875982778261,2.32462663747719 48.8880330014541,2.32317700559938 48.887087003277,2.32303935495499 48.8869729402042,2.32213290227378 48.8875060593977,2.32104511596085 48.8881352331898,2.31954344190207 48.8890028478153,2.31868149645832 48.8894613214952,2.31721027703825 48.890259814261,2.31733448472367 48.8903930077087,2.31725302494956 48.890430147729,2.31722577240872 48.8904431980551,2.31637774740098 48.8908492719535,2.31562969582753 48.8912074635692,2.31551388703391 48.8912629268044,2.31546013619791 48.8912897198447,2.31499886879272 48.8915201802568,2.31492728292028 48.8915559470293,2.31444321398206 48.8917977942897,2.313886379212 48.8920877026252,2.31319326325072 48.8924591465541,2.3123391596453 48.8929056388456,2.3119828337284 48.8930918910529,2.31164684321369 48.8932674500885,2.31162678720595 48.8932779648232,2.31155393397598 48.8933160757976,2.31149909965371 48.8933447601792,2.31128519217312 48.8934567623556,2.31318318181243 48.8942102660205,2.31323895646235 48.8942324079961,2.31328510725066 48.8942507292872,2.31342007007676 48.8943043069707,2.31361671303523 48.8943823714069,2.31362455277733 48.8943854830366,2.3135859099358 48.8944074217886,2.31346316405262 48.8944770839647,2.3134211364758 48.8945009368045,2.31205648293651 48.8952755284654,2.31038393468689 48.8962302475952,2.31026409392125 48.8962986524115,2.31012432164738 48.8963784356345,2.30982652133349 48.8965484157502,2.30954550174565 48.8967088178464,2.30967911156278 48.8967591902223,2.30968001004252 48.8967595281507,2.30985374728747 48.8968250298026,2.30995448741517 48.8968630113289,2.30995516331742 48.896863265235,2.31084485506334 48.8971986823667,2.31146526391162 48.8974325699379,2.3117717291577 48.8975481037959,2.31192651635184 48.8976064553705,2.312274434229 48.8977376116588,2.31308319805901 48.8979834089565,2.31338653520947 48.8980755958521,2.31341784363253 48.8980851102975,2.31381857880752 48.8982068952893,2.31386851628404 48.8982220723541,2.31414067794441 48.8983047824121,2.31495652142643 48.8985527117847,2.31611565873019 48.8989049506299,2.31628747955174 48.8989571632213,2.31654497844039 48.8990354097154,2.31706238197585 48.8991926305898,2.31720744227005 48.8992367077733,2.3173764012728 48.8992880481049,2.31753750630457 48.8993370007116,2.31782862053481 48.8994254570625,2.31804761987928 48.8994920002574,2.31851638843293 48.8996344335704,2.31860675094978 48.8996887153139,2.3187501111052 48.899774833984,2.31878066742713 48.8997931902247,2.31911225447921 48.8999923765111,2.31981843288472 48.9004165751283,2.31990699936329 48.9004697754475,2.32023140944335 48.9006646423501,2.32035458244896 48.900738629523,2.32038742456818 48.9007583580714,2.3210603325632 48.9007816735554,2.32166114731224 48.9008024860423,2.32189285124596 48.9008105124451,2.3232129703175 48.9008562310558,2.3232986350618 48.9008591972176,2.323477572792 48.9008653935656,2.32374366429242 48.9008746061658,2.32387448215768 48.9008791344664,2.32434700908794 48.9008954922958,2.32618468828337 48.9009590919534,2.32639116913394 48.9009662356933,2.32658849733762 48.9009699749602,2.32749410945301 48.900987129583,2.32962962518641 48.9010275550618,2.33014998086991 48.9010373984087,2.33009180569293 48.9008649743187,2.32997056586479 48.9005056366884,2.32993652652284 48.9004047469758,2.32990324976087 48.9003060882204,2.32946041132785 48.8989935405201,2.32909202920387 48.897936180303,2.32905561734625 48.8978316750175,2.32900976294846 48.8977000490779,2.32898474244815 48.8976282286006,2.32897697033001 48.8976050527464,2.32829099437856 48.8955593217549,2.32744340223572 48.8930550390188,2.32728458770627 48.892580489179,2.32687306204055 48.8913507727965,2.32661608911316 48.890582859761,2.3262815201307 48.8896057564249,2.32591421409084 48.8885329951987))",750000068,5171.70645067,71,5171.63300656,68,1378544.9478026,"[ 48.894943, 2.321119 ]",750000017,7511704,Epinettes,17
"POLYGON ((2.29503961866372 48.8737786954759,2.29503959459934 48.8737786602598,2.29493341002686 48.8738122800384,2.29454736719203 48.8739345051829,2.29402209350819 48.8741008112937,2.29300455440402 48.8744229183603,2.29300444350095 48.8744229527796,2.290487563933 48.8752240201258,2.28996948199853 48.8753882294913,2.28919841489022 48.8756324861132,2.28800048503132 48.876017393707,2.2871948771839 48.8762761460766,2.28428660741728 48.8771928567075,2.28407320897716 48.8772601176611,2.28395866005391 48.8772962218959,2.28393029668111 48.877305161665,2.28386167941215 48.8773268758899,2.28379886854317 48.8773467514864,2.28378245712601 48.8773519450226,2.28339942360325 48.8774759670105,2.28335147153979 48.8774914921696,2.28131508220444 48.8781582801608,2.27980107312765 48.8786539857568,2.27996395345951 48.8787026224755,2.27999007750804 48.8788165101697,2.27999336073092 48.8788308213317,2.27999345079886 48.8788312103883,2.28001355645945 48.8789188559945,2.28012064206295 48.8793856620435,2.28015032159303 48.8795150342537,2.280153408058 48.8795284934433,2.28019092365445 48.8796920282878,2.28019094308679 48.8796921021505,2.28024104579785 48.8799050701752,2.28026046863714 48.8799876221835,2.28038563843629 48.8805196366748,2.28041163589582 48.8806370945911,2.28050651325682 48.8810657301734,2.28053051546065 48.8811741709375,2.28055228450929 48.881272522081,2.28062626997943 48.88160677126,2.2806965394151 48.8819242226154,2.28070186591937 48.881948292113,2.28086320351283 48.8826771435552,2.28088899388761 48.8827936573758,2.28090791739475 48.882879144184,2.28099491928358 48.8829467284502,2.28105052635153 48.8829899247734,2.28111294542924 48.8830384140975,2.28172074469492 48.8835105560931,2.28195760259752 48.8836945465823,2.28206772042542 48.8837800835808,2.28226005673715 48.8839294895785,2.28434243701098 48.885546969207,2.28445944679986 48.885637851081,2.28445949401885 48.8856378882359,2.28464724700287 48.8857837165991,2.28532296429932 48.8863085407563,2.28566205529044 48.8865719042816,2.28862994486463 48.888027103008,2.28863006407979 48.8880271612734,2.28872558871423 48.8880739966794,2.29154014244721 48.8894538589984,2.29187163477012 48.8894929505078,2.29240858515326 48.8895562701578,2.29266099982579 48.8895860346436,2.29470200598938 48.8875523744656,2.29402058151075 48.8871293779216,2.29300807098743 48.8865140556553,2.29294194422529 48.8864738706078,2.29290749859686 48.8864529357756,2.29289430302502 48.8864449167401,2.29286024165966 48.8864242080967,2.29249344430728 48.8862012991028,2.29246342455011 48.8861830550116,2.29243284621541 48.886164471261,2.29239763408956 48.8861430712857,2.29236682046562 48.8861243440321,2.29240046195525 48.8861004551181,2.29341098628819 48.885382889566,2.29453296540853 48.8844776199254,2.29440995494234 48.8844170830406,2.29638560273655 48.8829286376719,2.29705243842179 48.8824311474463,2.29853375037413 48.8813212004274,2.29965033298782 48.8804843388063,2.29885719332194 48.880048385961,2.30096882430139 48.878683517517,2.29873827873538 48.8782043180563,2.29873221503405 48.8782030162669,2.29873033203299 48.8782026113261,2.29859157834948 48.878172800158,2.29846449671003 48.8781454971341,2.29815504033832 48.8780790091167,2.29801550462885 48.8778837035076,2.29797567837527 48.8778279600518,2.29601337831442 48.8751226194655,2.29530308430916 48.8741429624722,2.29527353479391 48.874102396341,2.29516691118908 48.8739552332901,2.29503961866372 48.8737786954759))",750000065,5264.59708157,68,5264.46340606,65,1465070.90670735,"[ 48.881178, 2.289964 ]",750000017,7511701,Ternes,17
"POLYGON ((2.39114103783947 48.8261126457747,2.39025819561508 48.8257274991409,2.39025654049721 48.825728676075,2.38906241751576 48.8265580059211,2.38758677965775 48.8275826808126,2.38706265153435 48.8279798507379,2.38695811525448 48.8280684686764,2.38691073485437 48.8281086345314,2.38688507297039 48.8281303882677,2.38623605300025 48.8286805688701,2.38515766855485 48.8296249122427,2.38478144626245 48.8299215584041,2.3833237387855 48.8310709017289,2.3828420387394 48.8314505939339,2.38099245978998 48.8329082433486,2.37892628501751 48.8344945465919,2.37845677426135 48.8348800557297,2.37707638240986 48.8360126573344,2.37698254535994 48.8360992649601,2.37491337925709 48.8380089544025,2.3748282006982 48.8380875642537,2.3748070985573 48.8381070385142,2.37359844216443 48.8392100416843,2.37308940131687 48.8396745005628,2.3725452878303 48.8400712499224,2.37241401872841 48.8401711163406,2.37320476223406 48.8405702936918,2.37342920880698 48.8406835947955,2.37377652260759 48.8408589174793,2.37380905431021 48.8408753401445,2.37632434696116 48.8421449814215,2.37635693176325 48.8421614270268,2.37636284117294 48.8421643852525,2.37652103309642 48.8422435603227,2.37675722839039 48.8423501340919,2.37710204541599 48.8425055848538,2.37716542834244 48.8425342537104,2.37724611300731 48.8425704593046,2.37730949504968 48.8425992153158,2.37781487969022 48.8428271759406,2.37790891110166 48.84286958862,2.37798496467398 48.8429039160363,2.37853287776444 48.8431510162816,2.37860279407355 48.8431799449309,2.38300191985214 48.8448303889241,2.38317835791902 48.8448409227823,2.38337389059693 48.8448525953572,2.38338193798522 48.8448530766214,2.38341175863852 48.8448278774225,2.3854189000316 48.8431615792583,2.38567462096253 48.84290302021,2.38626613331314 48.8422918810909,2.38695153432444 48.8415834982014,2.38736091576511 48.8411563496899,2.38772414928554 48.8407769650374,2.38926477791675 48.8389901084328,2.38944082189875 48.8387885598146,2.38968604027442 48.8385625909315,2.39127716557702 48.8372504367561,2.3913138718188 48.8372097259034,2.39146115917156 48.8370151632737,2.39217669000857 48.8360763401384,2.39272510997067 48.8353319203254,2.39417321498605 48.834062763424,2.39486892632438 48.833619254644,2.39653215400662 48.8325622858729,2.39742704732623 48.8319851044398,2.3975043606885 48.8319347921159,2.39931973759454 48.8307730225877,2.39952334066185 48.8306392756282,2.40126346943349 48.8295149990664,2.40136693731879 48.8294481471071,2.4014943229932 48.8293658421825,2.40130391403488 48.8293118938531,2.40092051749021 48.8292032665575,2.39905903133072 48.8286758324113,2.39572315819249 48.8277305419619,2.39465860949222 48.8275619701782,2.39461815806875 48.827555564257,2.39435215866576 48.8275134426877,2.39357199513878 48.82717312173,2.39347213280288 48.8271295606071,2.39332094775366 48.8270636109224,2.39250410822125 48.8267072767851,2.39180020770617 48.8264002069234,2.39170807183424 48.8263600130518,2.39151474350596 48.8262756730357,2.39150212223801 48.8262701658169,2.39138198233534 48.8262177560218,2.39129180539997 48.8261784171991,2.39114103783947 48.8261126457747))",750000047,6155.00503581,29,6154.59138694,47,1902932.20180839,"[ 48.835209, 2.386210 ]",750000012,7511203,Bercy,12
